country,iso3,qualifying_program_found,program_name,program_type,program_url,legal_or_official_basis,announcement_date,launch_or_effective_date,status_during_observation_period,discovery_evidence_span,discovery_source_title,discovery_source_institution,discovery_source_url,source_publication_date,source_access_date,primary_or_secondary_source,Unnamed: 17,qualifying,announcement_precision,effective_precision,announcement_date_parsed,effective_date,adoption_year,adoption_month,first_full_exposure_year,calendar_year_exposure
British Virgin Islands,VGB,no,,,,,,,,,2024 Investment Climate Statements: Antigua and Barbuda,U.S. Department of State,https://2021-2025.state.gov/reports/2024-investment-climate-statements/antigua-and-barbuda,2024,8/11/26,secondary,,False,missing,missing,,,,,,
Brunei Darussalam,BRN,no,,,,,,,,2023-2026,Bringing Digital Nomads and the Highly Skilled into ASEAN,Economic Research Institute for ASEAN and East Asia (ERIA),https://www.eria.org/uploads/Bringing-Digital-Nomads-Highly-Skilled-into-ASEAN-web.pdf,2023-11,8/11/26,secondary,,False,missing,missing,,,,,,
Bulgaria,BGR,yes,Bulgaria Digital Nomad Residence Permit,Digital Nomad Visa / Residence Permit,,Law on Foreigners in the Republic of Bulgaria,2025-12,12/20/25,active,2025-2026,Bulgaria Launches the EU's Latest Digital Nomad Visa,IMI Daily,https://www.imidaily.com/europe/bulgaria-launches-the-eus-latest-digital-nomad-visa,,8/11/26,primary,,True,month,day,2025-12-01,2025-12-20,2025,12,2026,2025
Burkina Faso,BFA,no,,,,,,,,,ilab's sweat & toil and - comply chain apps today!,U.S. Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Burundi,BDI,no,,,,,,,,2026,Burundi Digital Nomad Visa Guide 2026 | Stamped Nomad,Stamped Nomad,https://www.stampednomad.com/guides/burundi,2026,8/11/26,secondary,,False,missing,missing,,,,,,
Cabo Verde,CPV,yes,Remote Working Program,Digital Nomad Visa / Residence Permit,,,2020-12,2020-12,active,2020-2025,"Compliance, WFA, EOR, Visa, Digital Nomad Visa Cabo Verde",Work From Anywhere,https://wfa.team/visa/digital-nomad-visa-cabo-verde,2025-08,8/11/26,primary,,True,month,month,2020-12-01,2020-12-01,2020,12,2021,2020
Cambodia,KHM,no,,,,,,,,,BUSINESS (Type-E) VISA - ROYAL EMBASSY OF CAMBODIA TO THE UNITED STATES OF AMERICA IN WASHINGTON D.C.,Royal Embassy of Cambodia to the United States of America,https://www.embassyofcambodiadc.org/business_visa_type-e.html,2025,8/11/26,primary,,False,missing,missing,,,,,,
Cameroon,CMR,no,,,,,,,,2023-2026,"Official Website Embassy of Cameroon, The Netherlands – ANNOUNCEMENT: The Government of the Republic of Cameroon has launched the electronic visa or E- Visa",Embassy of the Republic of Cameroon in the Kingdom of the Netherlands and the Grand-Duchy of Luxembourg,https://www.cameroon-embassy.nl/communique-the-government-of-the-republic-of-cameroon-has-launched-the-electronic-visa-or-e-visa,,8/11/26,primary,,False,missing,missing,,,,,,
Canada,CAN,no,,,,,,,,2023-2026,Canada Digital Nomad Visa (Remote Work) (2025),Rippling (Secondary Blog),https://www.rippling.com/blog/canada-digital-nomad-visa,2025,8/11/26,secondary,,False,missing,missing,,,,,,
Cayman Islands,CYM,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PMC / National Center for Biotechnology Information,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,,False,missing,missing,,,,,,
Central African Republic,CAF,no,,,,,,,,,Central African Republic - United States Department of State,United States Department of State,https://www.state.gov/reports/2025-trafficking-in-persons-report/central-african-republic,,8/11/26,secondary,,False,missing,missing,,,,,,
Chad,TCD,no,,,,,,,,,"Alert: Update on Visa and Entry Ban for U.S. Citizens – June 12, 2025  - U.S. Embassy in Chad",U.S. Embassy in Chad,https://td.usembassy.gov/alert-update-on-visa-and-entry-ban-for-u-s-citizens-june-12-2025,6/12/25,8/11/26,secondary,,False,missing,missing,,,,,,
Chile,CHL,no,,,,,,,,2021-2026,Work Remotely in Chile on Tourist Visa? 2026 Guide,Is It Legal in Chile,https://isitlegalinchile.com/remote-work,2026,8/11/26,secondary,,False,missing,missing,,,,,,
China,CHN,no,,,,,,,,2026,Digital Nomad In China: Visa And Remote Work Rules,HROne,https://hrone.com/blog/digital-nomads-in-china-is-it-legal-can-you-work-while-traveling,,8/11/26,secondary,,False,missing,missing,,,,,,
Colombia,COL,no,,,,,,,,,"Migration, Advanced Digital Technologies, and the Future of...",National Center for Biotechnology Information / PubMed Central (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC13046257,,8/11/26,secondary,,False,missing,missing,,,,,,
Comoros,COM,no,,,,,,,,2026,Comoros Digital Nomad Visa Guide 2026 | Stamped Nomad,Stamped Nomad (Secondary Source),https://www.stampednomad.com/guides/comoros,2026,8/11/26,secondary,,False,missing,missing,,,,,,
"Congo, Dem. Rep.",COD,no,,,,,,,,2026,Democratic Republic of Congo Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/democratic-republic-of-congo,,8/11/26,secondary,,False,missing,missing,,,,,,
"Congo, Rep.",COG,no,,,,,,,,2026,Republic of Congo Work Permits & Visas: Types & How to ...,Playroll,https://www.playroll.com/work-permit-visas/republic-of-congo,,8/11/26,secondary,,False,missing,missing,,,,,,
Costa Rica,CRI,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PubMed Central / National Institutes of Health,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,,False,missing,missing,,,,,,
Croatia,HRV,yes,Temporary residence permit for digital nomads,Digital Nomad Residence Permit,,Law on Foreigners (Narodne novine),2021,1/1/21,active,2021-2026,"Croatia Digital Nomad Visa 2026: Requirements, Costs, and How to Apply",Remote Work Europe,https://remoteworkeurope.eu/insights/croatia-digital-nomad-visa,2026,8/11/26,primary,,True,year,day,2021-01-01,2021-01-01,2021,1,2021,2021
Cuba,CUB,no,,,,,,,,,Cuba Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/cuba,,8/11/26,secondary,,False,missing,missing,,,,,,
Cyprus,CYP,no,,,,,,,,,Migration and mobility of third-country national labour workers ...,National Center for Biotechnology Information (Secondary citation of general immigration reference),https://pmc.ncbi.nlm.nih.gov/articles/PMC8154112,,8/11/26,secondary,,False,missing,missing,,,,,,
Czechia,CZE,no,,,,,,,,,MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025-09,8/11/26,secondary,,False,missing,missing,,,,,,
Denmark,DNK,no,,,,,,,,,Visas - U.S. Embassy & Consulate in the Kingdom of Denmark,U.S. Embassy & Consulate in the Kingdom of Denmark,https://dk.usembassy.gov/visas,,8/11/26,secondary,,False,missing,missing,,,,,,
Djibouti,DJI,no,,,,,,,,,E-visa to Facilitate Travel in Djibouti,International Organization for Migration (IOM),https://www.iom.int/news/e-visa-facilitate-travel-djibouti,,8/11/26,secondary,,False,missing,missing,,,,,,
Dominica,DMA,yes,Work in Nature (WIN) Visa,Digital Nomad Visa,https://citizenremote.com/visas/dominica,,2021-04,2021-04,,2021-2026,Digital Nomad Visa for Dominica,Citizen Remote,https://citizenremote.com/visas/dominica,,8/11/26,primary,,True,month,month,2021-04-01,2021-04-01,2021,4,2022,2021
Dominican Republic,DOM,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,,False,missing,missing,,,,,,
Ecuador,ECU,yes,Visa de Residencia Temporal Rentista Para Trabajo Remoto,Digital Nomad Visa / Temporary Residence Permit,,,2022-06,2022-06,active,2022-2026,Ecuador Digital Nomad Visa (Rentista) in June 2026,Citizen Remote,https://citizenremote.com/visas/ecuador-digital-nomad-visa,,8/11/26,primary,,True,month,month,2022-06-01,2022-06-01,2022,6,2023,2022
"Egypt, Arab Rep.",EGY,no,,,,,,,,,Digital Nomad Visa Countries - Official Requirements | TripPlugin,TripPlugin,https://tripplugin.com/digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
El Salvador,SLV,no,,,,,,,,,El Salvador Digital Nomad Visa 2025 | Work Remotely in Central America | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/el-salvador-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Equatorial Guinea,GNQ,no,,,,,,,,2023-2026,Equatorial Guinea Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/equatorial-guinea,,8/11/26,secondary,,False,missing,missing,,,,,,
Eritrea,ERI,no,,,,,,,,2026,Eritrea for Digital Nomads 2026: A Closed-Country Reality,Stamped Nomad,https://www.stampednomad.com/guides/eritrea,2026,8/11/26,secondary,,False,missing,missing,,,,,,
Estonia,EST,yes,Estonian Digital Nomad Visa,Long-term D-visa,,Aliens Act,2020,2020-08,active,2020-2026,Estonia Digital Nomad Visa: 2026 Guide for Enterprises,Jobbatical,https://www.jobbatical.com/blog/estonia-digital-nomad-visa-income-requirement-immigration-quota,,8/11/26,primary,,True,year,month,2020-01-01,2020-08-01,2020,8,2021,2020
Eswatini,SWZ,no,,,,,,,,2026,Visa,"Ministry of Home Affairs, Government of the Kingdom of Eswatini",https://www.gov.sz/index.php/services-sp-22242747/visa,,8/11/26,primary,,False,missing,missing,,,,,,
Ethiopia,ETH,no,,,,,,,,2026,Online (e-Visa) – Embassy of Ethiopia,Embassy of Ethiopia,https://ethiopianembassy.be?page_id=10346,,8/11/26,primary,,False,missing,missing,,,,,,
Fiji,FJI,no,,,,,,,No digital nomad visa policy available; remote workers typically use tourist entries or standard work permits.,2025-2026,Work in Fiji – Ministry of Immigration,Fiji Ministry of Immigration,https://www.immigration.gov.fj/work-in-fiji,,8/11/26,primary,,False,missing,missing,,,,,,
Finland,FIN,no,,,,,,,,,Living in Finland - U.S. Embassy in Finland,U.S. Embassy in Finland,https://fi.usembassy.gov/living-in-finland,,8/11/26,secondary,,False,missing,missing,,,,,,
France,FRA,no,,,,,,,,2025-2026,France Visa Options for Remote Workers (2026): HR Guide,Jobbatical,https://www.jobbatical.com/blog/france-remote-work-visas-for-employers,,8/11/26,secondary,,False,missing,missing,,,,,,
French Polynesia,PYF,no,,,,,,,,,Digital nomad visa: the complete guide - France Immigration,France Immigration,https://www.france-immigration.com/en/expert-articles/digital-nomad-visas-the-complete-guide,,8/11/26,secondary,,False,missing,missing,,,,,,
"Gambia, The",GMB,no,,,,,,,,,Visas - U.S. Embassy in The Gambia,U.S. Department of State,https://gm.usembassy.gov/visas-2,,8/11/26,secondary,,False,missing,missing,,,,,,
Georgia,GEO,no,,,,,,,,,"Georgia Digital Nomad Visa 2026 | Stay, Work & Live Remotely for 1 Year | Citizen Remote",Citizen Remote,https://citizenremote.com/visas/georgia-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Germany,DEU,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PMC / National Institutes of Health,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,,False,missing,missing,,,,,,
Ghana,GHA,no,,,,,,,,,Child Labor Report Book (U.S. Department of Labor),U.S. Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Greece,GRC,yes,Digital Nomad Visa,National Visa / Residence Permit,https://www.mimigration.gov.gr,Law 5275/2026,2021-09,2021-09,active,2021-2026,Digital Nomad Visa Greece | Global Law Experts,Global Law Experts,https://globallawexperts.com/digital-nomad-visa-greece,2026-08,8/11/26,primary,,True,month,month,2021-09-01,2021-09-01,2021,9,2022,2021
Grenada,GRD,no,,,,,,,,,Grenada Digital Nomad Visa: Apply in 4 Simple Steps - Nomads Embassy,Nomads Embassy,https://nomadsembassy.com/grenada-digital-nomad-visa,4/22/24,8/11/26,secondary,,False,missing,missing,,,,,,
Guam,GUM,no,,,,,,,,,"GAO-08-466, Commonwealth of the Northern Mariana Islands: Pending Legislation Would Apply U.S. Immigration Law to the CNMI with a Transition Period",U.S. Government Accountability Office,https://www.gao.gov/assets/a274135.html,,8/11/26,secondary,,False,missing,missing,,,,,,
Guatemala,GTM,yes,Temporary Residence for Workers with Foreign Employers,Temporary Residence Permit,https://livinginguatemala.com/tramites/igm-residencia-nomada-digital,Acuerdo IGM-016-2025 and Acuerdo IGM-017-2025,2025-11,10/8/25,active,2025-2026,Guatemala Digital Nomad Visa 2026: Direct Access IGM + How to Apply,Living in Guatemala,https://livinginguatemala.com/tramites/igm-residencia-nomada-digital,,8/11/26,primary,,True,month,day,2025-11-01,2025-10-08,2025,10,2026,2025
Guinea,GIN,no,,,,,,,,,GUINEA,Baofils,https://baofils.com/wp-content/uploads/2024/07/010_Guinea_Immigration.pdf,2024,8/11/26,secondary,,False,missing,missing,,,,,,
Guinea-Bissau,GNB,no,,,,,,,,2026,Guinea-Bissau Digital Nomad Visa Guide | Stamped Nomad,Stamped Nomad,https://www.stampednomad.com/guides/guinea-bissau,,8/11/26,secondary,,False,missing,missing,,,,,,
Guyana,GUY,no,,,,,,,,,Guyana for Digital Nomads 2026: Honest Guide,592Hub,https://592hub.com/blog/guyana-digital-nomads.html,,8/11/26,secondary,,False,missing,missing,,,,,,
Haiti,HTI,no,,,,,,,,,Haiti Work Permits & Visas: Types & How to Sponsor,Playroll (Secondary Source),https://www.playroll.com/work-permit-visas/haiti,,8/11/26,secondary,,False,missing,missing,,,,,,
Honduras,HND,no,,,,,,,,2025-2026,Honduras Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/honduras,,8/11/26,secondary,,False,missing,missing,,,,,,
"Hong Kong SAR, China",HKG,no,,,,,,,,,Hong Kong digital nomad visa: How to get it? - Holafly,Holafly,https://esim.holafly.com/visas/hong-kong-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Hungary,HUN,yes,White Card,Digital Nomad Visa / Residence Permit,,,2021,2021-11,active,2021-2026,Digital Nomad Visa In Hungary (White Card) • Gurcan Partners,Gurcan Partners,https://gurcanpartners.com/blog/white-card-application-in-hungary,,8/11/26,primary,,True,year,month,2021-01-01,2021-11-01,2021,11,2022,2021
Iceland,ISL,yes,Long-Term Visa for Remote Workers,Digital Nomad Visa,https://www.island.is,Foreign Nationals Act / Directorate of Immigration Regulations,2020,2020-10,active,2020-2026,Iceland Digital Nomad Visa | Work Remotely in Iceland for 180 Days | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/iceland-digital-nomad-visa,,8/11/26,primary,,True,year,month,2020-01-01,2020-10-01,2020,10,2021,2020
India,IND,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,,False,missing,missing,,,,,,
Indonesia,IDN,no,,,,,,,,,Evidence of the digital nomad phenomenon - PMC - NIH,National Institutes of Health (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC11387329,,8/11/26,secondary,,False,missing,missing,,,,,,
"Iran, Islamic Rep.",IRN,no,,,,,,,,,Digital Nomad Visa Countries for Americans: Top Options,Greenback Tax Services,https://www.greenbacktaxservices.com/blog/digital-nomad-visa-countries,,8/11/26,secondary,,False,missing,missing,,,,,,
Iraq,IRQ,no,,,,,,,,,Visa – Ministry of Foreign Affairs of the Republic of IRAQ,Ministry of Foreign Affairs of the Republic of Iraq,https://mofa.gov.iq/visa,,8/11/26,primary,,False,missing,missing,,,,,,
Ireland,IRL,no,,,,,,,,,Ireland Digital Nomad Visa: New Self-Service Portal,Atlas HXM,https://www.atlashxm.com/resources/Ireland-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Israel,ISR,no,,,,,,,,2024-2026,Work Visas,Population and Immigration Authority (PIBA),https://www.tel-aviv.gov.il/en/WorkAndStudy/Pages/Work-Visas.aspx,,8/11/26,primary,,False,missing,missing,,,,,,
Italy,ITA,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PubMed Central / National Institutes of Health,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,,False,missing,missing,,,,,,
Jamaica,JAM,no,,,,,,,,,Jamaica: The Complete Guide for Digital Nomads - HUMAN Wrote,Digital Nomad Lifestyle (Secondary Source),https://digitalnomadlifestyle.com/the-complete-digital-nomad-guide-to-jamaica-2,,8/11/26,secondary,,False,missing,missing,,,,,,
Japan,JPN,yes,Designated Activities (Digital Nomad),Digital Nomad Visa,https://www.japan.travel/en/ca/news/digital-nomad-visa,Immigration Control and Refugee Recognition Act (Notice No. 53),2024,4/1/24,active,2024-2026,Japan Introduces New Visa for Digital Nomads,Japan National Tourism Organization,https://www.japan.travel/en/ca/news/digital-nomad-visa,,8/11/26,primary,,True,year,day,2024-01-01,2024-04-01,2024,4,2025,2024
Jordan,JOR,no,,,,,,,,2026,Jordan Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/jordan,,8/11/26,secondary,,False,missing,missing,,,,,,
Kazakhstan,KAZ,yes,Neo Nomad visa,Digital Nomad Visa,,,,,,2025-2026,Kazakhstan - Business Travel,International Trade Administration (U.S. Department of Commerce),https://www.trade.gov/country-commercial-guides/kazakhstan-business-travel,,8/11/26,primary,,True,missing,missing,,,,,,
Kenya,KEN,no,,,,,,,,,Migration and Health Study Report,African Union,https://au.int/sites/default/files/documents/41748-doc-Study_Report-Migration_and_Health-From_Policy_to_Practice_ENG.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Kiribati,KIR,no,,,,,,,,,Immigration – Ministry of Foreign Affairs & Immigration,"Ministry of Foreign Affairs & Immigration, Kiribati",https://www.mfa.gov.ki/immigration,,8/11/26,primary,,False,missing,missing,,,,,,
"Korea, Rep.",KOR,yes,Digital Nomad (Workation) Visa (F-1-D),Digital Nomad Visa / Residence Permit,,,1/1/24,6/30/26,active,2024-2026,The Republic of Korea Expands Digital Nomad Visa Expansion,"Envoy Global, Inc.",https://www.envoyglobal.com/news-alert/the-republic-of-korea-expands-digital-nomad-visa-expansion,7/17/26,8/11/26,primary,,True,day,day,2024-01-01,2026-06-30,2026,6,2027,2026
Kuwait,KWT,no,,,,,,,,,Kuwait Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/kuwait,,8/11/26,secondary,,False,missing,missing,,,,,,
Kyrgyz Republic,KGZ,yes,Digital Nomad,Digital Nomad Status,https://kyrgyzstan.iom.int/resources/migration-situation-report-july-december-2025,Decree of the Cabinet of Ministers of the Kyrgyz Republic,2025,2025,Active,2025,MIGRATION SITUATION REPORT JULY–DECEMBER 2025,International Organization for Migration (IOM),https://kyrgyzstan.iom.int/resources/migration-situation-report-july-december-2025,2025,8/11/26,primary,,True,year,year,2025-01-01,2025-01-01,2025,1,,2025
Lao PDR,LAO,no,,,,,,,,,Investment Climate Statements: Custom Report Excerpts - United States Department of State,United States Department of State,https://www.state.gov/report/custom/5f7f8146b1,,8/11/26,secondary,,False,missing,missing,,,,,,
Latvia,LVA,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PMC / NCBI,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,,False,missing,missing,,,,,,
Lebanon,LBN,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,,False,missing,missing,,,,,,
Lesotho,LSO,no,,,,,,,,,ilab's sweat & toil and - comply chain apps today!,U.S. Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,,False,missing,missing,,,,,,
Lithuania,LTU,no,,,,,,,,,"Displacement, integration, and return: What remote work possibilities for Ukrainians?",ReliefWeb,https://reliefweb.int/report/ukraine/displacement-integration-and-return-what-remote-work-possibilities-ukrainians,,8/11/26,secondary,,False,missing,missing,,,,,,
Luxembourg,LUX,no,,,,,,,,,Visit World - Luxembourg Immigration for Cameroonians – Work Visa and Employment Opportunities,Visit World (Secondary Source),https://visitworld.today/luxembourg/cameroon-citizenship/work,,8/11/26,secondary,,False,missing,missing,,,,,,
"Macao SAR, China",MAC,no,,,,,,,,,Digital Nomad Visas for Remote Work: The Complete 2026,Deel Blog,https://www.deel.com/blog/remote-work-visas,,8/11/26,secondary,,False,missing,missing,,,,,,
Madagascar,MDG,no,,,,,,,,2026,5 Considerations for Remote Work in Madagascar: A Digital Nomad's Guide - Voky Be,Voky Be,https://vokybe.com/5-considerations-for-remote-work-in-madagascar-a-digital-nomads-guide,,8/11/26,secondary,,False,missing,missing,,,,,,
