country,iso3,qualifying_program_found,program_name,program_type,program_url,legal_or_official_basis,announcement_date,launch_or_effective_date,status_during_observation_period,discovery_evidence_span,discovery_source_title,discovery_source_institution,discovery_source_url,source_publication_date,source_access_date,primary_or_secondary_source,
"Gambia, The",GMB,no,,,,,,,,,Visas - U.S. Embassy in The Gambia,U.S. Department of State,https://gm.usembassy.gov/visas-2,,8/11/26,secondary,
Georgia,GEO,no,,,,,,,,,"Georgia Digital Nomad Visa 2026 | Stay, Work & Live Remotely for 1 Year | Citizen Remote",Citizen Remote,https://citizenremote.com/visas/georgia-digital-nomad-visa,,8/11/26,secondary,
Germany,DEU,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PMC / National Institutes of Health,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,
Ghana,GHA,no,,,,,,,,,Child Labor Report Book (U.S. Department of Labor),U.S. Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,
Greece,GRC,yes,Digital Nomad Visa,National Visa / Residence Permit,https://www.mimigration.gov.gr,Law 5275/2026,2021-09,2021-09,active,2021-2026,Digital Nomad Visa Greece | Global Law Experts,Global Law Experts,https://globallawexperts.com/digital-nomad-visa-greece,2026-08,8/11/26,primary,
Grenada,GRD,no,,,,,,,,,Grenada Digital Nomad Visa: Apply in 4 Simple Steps - Nomads Embassy,Nomads Embassy,https://nomadsembassy.com/grenada-digital-nomad-visa,4/22/24,8/11/26,secondary,
Guam,GUM,no,,,,,,,,,"GAO-08-466, Commonwealth of the Northern Mariana Islands: Pending Legislation Would Apply U.S. Immigration Law to the CNMI with a Transition Period",U.S. Government Accountability Office,https://www.gao.gov/assets/a274135.html,,8/11/26,secondary,
Guatemala,GTM,yes,Temporary Residence for Workers with Foreign Employers,Temporary Residence Permit,https://livinginguatemala.com/tramites/igm-residencia-nomada-digital,Acuerdo IGM-016-2025 and Acuerdo IGM-017-2025,2025-11,10/8/25,active,2025-2026,Guatemala Digital Nomad Visa 2026: Direct Access IGM + How to Apply,Living in Guatemala,https://livinginguatemala.com/tramites/igm-residencia-nomada-digital,,8/11/26,primary,
Guinea,GIN,no,,,,,,,,,GUINEA,Baofils,https://baofils.com/wp-content/uploads/2024/07/010_Guinea_Immigration.pdf,2024,8/11/26,secondary,
Guinea-Bissau,GNB,no,,,,,,,,2026,Guinea-Bissau Digital Nomad Visa Guide | Stamped Nomad,Stamped Nomad,https://www.stampednomad.com/guides/guinea-bissau,,8/11/26,secondary,
Guyana,GUY,no,,,,,,,,,Guyana for Digital Nomads 2026: Honest Guide,592Hub,https://592hub.com/blog/guyana-digital-nomads.html,,8/11/26,secondary,
Haiti,HTI,no,,,,,,,,,Haiti Work Permits & Visas: Types & How to Sponsor,Playroll (Secondary Source),https://www.playroll.com/work-permit-visas/haiti,,8/11/26,secondary,
Honduras,HND,no,,,,,,,,2025-2026,Honduras Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/honduras,,8/11/26,secondary,
"Hong Kong SAR, China",HKG,no,,,,,,,,,Hong Kong digital nomad visa: How to get it? - Holafly,Holafly,https://esim.holafly.com/visas/hong-kong-digital-nomad-visa,,8/11/26,secondary,
Hungary,HUN,yes,White Card,Digital Nomad Visa / Residence Permit,,,2021,2021-11,active,2021-2026,Digital Nomad Visa In Hungary (White Card) • Gurcan Partners,Gurcan Partners,https://gurcanpartners.com/blog/white-card-application-in-hungary,,8/11/26,primary,
Iceland,ISL,yes,Long-Term Visa for Remote Workers,Digital Nomad Visa,https://www.island.is,Foreign Nationals Act / Directorate of Immigration Regulations,2020,2020-10,active,2020-2026,Iceland Digital Nomad Visa | Work Remotely in Iceland for 180 Days | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/iceland-digital-nomad-visa,,8/11/26,primary,
India,IND,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,
Indonesia,IDN,no,,,,,,,,,Evidence of the digital nomad phenomenon - PMC - NIH,National Institutes of Health (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC11387329,,8/11/26,secondary,
"Iran, Islamic Rep.",IRN,no,,,,,,,,,Digital Nomad Visa Countries for Americans: Top Options,Greenback Tax Services,https://www.greenbacktaxservices.com/blog/digital-nomad-visa-countries,,8/11/26,secondary,
Iraq,IRQ,no,,,,,,,,,Visa – Ministry of Foreign Affairs of the Republic of IRAQ,Ministry of Foreign Affairs of the Republic of Iraq,https://mofa.gov.iq/visa,,8/11/26,primary,
Ireland,IRL,no,,,,,,,,,Ireland Digital Nomad Visa: New Self-Service Portal,Atlas HXM,https://www.atlashxm.com/resources/Ireland-digital-nomad-visa,,8/11/26,secondary,
Israel,ISR,no,,,,,,,,2024-2026,Work Visas,Population and Immigration Authority (PIBA),https://www.tel-aviv.gov.il/en/WorkAndStudy/Pages/Work-Visas.aspx,,8/11/26,primary,
Italy,ITA,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PubMed Central / National Institutes of Health,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,
Jamaica,JAM,no,,,,,,,,,Jamaica: The Complete Guide for Digital Nomads - HUMAN Wrote,Digital Nomad Lifestyle (Secondary Source),https://digitalnomadlifestyle.com/the-complete-digital-nomad-guide-to-jamaica-2,,8/11/26,secondary,
Japan,JPN,yes,Designated Activities (Digital Nomad),Digital Nomad Visa,https://www.japan.travel/en/ca/news/digital-nomad-visa,Immigration Control and Refugee Recognition Act (Notice No. 53),2024,4/1/24,active,2024-2026,Japan Introduces New Visa for Digital Nomads,Japan National Tourism Organization,https://www.japan.travel/en/ca/news/digital-nomad-visa,,8/11/26,primary,
Jordan,JOR,no,,,,,,,,2026,Jordan Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/jordan,,8/11/26,secondary,
Kazakhstan,KAZ,yes,Neo Nomad visa,Digital Nomad Visa,,,,,,2025-2026,Kazakhstan - Business Travel,International Trade Administration (U.S. Department of Commerce),https://www.trade.gov/country-commercial-guides/kazakhstan-business-travel,,8/11/26,primary,
Kenya,KEN,no,,,,,,,,,Migration and Health Study Report,African Union,https://au.int/sites/default/files/documents/41748-doc-Study_Report-Migration_and_Health-From_Policy_to_Practice_ENG.pdf,,8/11/26,secondary,
Kiribati,KIR,no,,,,,,,,,Immigration – Ministry of Foreign Affairs & Immigration,"Ministry of Foreign Affairs & Immigration, Kiribati",https://www.mfa.gov.ki/immigration,,8/11/26,primary,
"Korea, Rep.",KOR,yes,Digital Nomad (Workation) Visa (F-1-D),Digital Nomad Visa / Residence Permit,,,1/1/24,6/30/26,active,2024-2026,The Republic of Korea Expands Digital Nomad Visa Expansion,"Envoy Global, Inc.",https://www.envoyglobal.com/news-alert/the-republic-of-korea-expands-digital-nomad-visa-expansion,7/17/26,8/11/26,primary,
Kuwait,KWT,no,,,,,,,,,Kuwait Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/kuwait,,8/11/26,secondary,
Kyrgyz Republic,KGZ,yes,Digital Nomad,Digital Nomad Status,https://kyrgyzstan.iom.int/resources/migration-situation-report-july-december-2025,Decree of the Cabinet of Ministers of the Kyrgyz Republic,2025,2025,Active,2025,MIGRATION SITUATION REPORT JULY–DECEMBER 2025,International Organization for Migration (IOM),https://kyrgyzstan.iom.int/resources/migration-situation-report-july-december-2025,2025,8/11/26,primary,
Lao PDR,LAO,no,,,,,,,,,Investment Climate Statements: Custom Report Excerpts - United States Department of State,United States Department of State,https://www.state.gov/report/custom/5f7f8146b1,,8/11/26,secondary,
Latvia,LVA,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PMC / NCBI,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,
Lebanon,LBN,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,
Lesotho,LSO,no,,,,,,,,,ilab's sweat & toil and - comply chain apps today!,U.S. Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,
Lithuania,LTU,no,,,,,,,,,"Displacement, integration, and return: What remote work possibilities for Ukrainians?",ReliefWeb,https://reliefweb.int/report/ukraine/displacement-integration-and-return-what-remote-work-possibilities-ukrainians,,8/11/26,secondary,
Luxembourg,LUX,no,,,,,,,,,Visit World - Luxembourg Immigration for Cameroonians – Work Visa and Employment Opportunities,Visit World (Secondary Source),https://visitworld.today/luxembourg/cameroon-citizenship/work,,8/11/26,secondary,
"Macao SAR, China",MAC,no,,,,,,,,,Digital Nomad Visas for Remote Work: The Complete 2026,Deel Blog,https://www.deel.com/blog/remote-work-visas,,8/11/26,secondary,
Madagascar,MDG,no,,,,,,,,2026,5 Considerations for Remote Work in Madagascar: A Digital Nomad's Guide - Voky Be,Voky Be,https://vokybe.com/5-considerations-for-remote-work-in-madagascar-a-digital-nomads-guide,,8/11/26,secondary,
Malawi,MWI,no,,,,,,,,,Visa – Department of Immigration. Republic of Malawi,"Department of Immigration and Citizenship Services, Malawi",https://www.immigration.gov.mw/visa,,8/11/26,primary,
Malaysia,MYS,yes,DE Rantau Nomad Pass,Digital Nomad Visa / Residence Permit,,,2022-10,2022-10,active,2022-2026,Who Can Apply for the Malaysia Digital Nomad Visa? (29+ Remote Positions),Nomad Embassy,https://nomadsembassy.com/who-can-apply-for-the-malaysia-digital-nomad-visa,,8/11/26,primary,
Maldives,MDV,no,,,,,,,,,Work Visa Service | Maldives Immigration,Maldives Immigration,https://immigration.gov.mv/visa/work-visa,,8/11/26,primary,
Mali,MLI,no,,,,,,,,,Visas - U.S. Embassy in Mali,U.S. Embassy in Mali,https://ml.usembassy.gov/visas,,8/11/26,secondary,
Malta,MLT,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,
Marshall Islands,MHL,no,,,,,,,,,"Marshall Islands Work Permit / Work Visa (Work): Requirements, Fees, Processing Time & How to Apply – DesiNRI Visa Portal",DesiNRI Visa Portal (Secondary Source),https://desinri.com/visa/marshall-islands-work-permit-work-visa-work-requirements-fees-processing-time-how-to-apply,,8/11/26,secondary,
Mauritius,MUS,yes,Premium Visa,Digital Nomad Visa / Residence Permit,https://www.edbmauritius.org,Government of Mauritius Premium Travel Visa initiative,2020-10,2020-10,active,2020-2026,Mauritius Digital Nomad Visa: Remote Work in Paradise in 2026,Nomadic Expert,https://www.nomadicexpert.com/visa-guides/digital-nomad-visa-mauritius,2026,8/11/26,primary,
Mexico,MEX,no,,,,,,,,2025-2026,Remote Work Visa Regulations in Mexico,Payroll Mexico (Secondary Source),https://www.payrollmexico.com/insights/remote-work-visa-regulations-mexico,,8/11/26,secondary,
"Micronesia, Fed. Sts.",FSM,no,,,,,,,,,Digital Nomad Visa Indonesia – Remote Work Legally,PNB Immigration Law Firm,https://www.pnbimmigrationlawfirm.com/services/work-permit-and-stay-permit/digital-nomad-visa-indonesia,,8/11/26,secondary,
Moldova,MDA,yes,Moldova Digital Nomad Visa,Digital Nomad Visa / Residence Permit,,Amendments to regulations governing online commerce and the remote work market proposed by the Ministry of Economic Development and Digitalization,9/20/25,9/20/25,active,2024-2026,Moldova Launches Digital Nomad Visa to Attract Global Talent,Erickson Immigration Group,https://eiglaw.com/moldova-launches-digital-nomad-visa-to-attract-global-talent,,8/11/26,primary,
Monaco,MCO,no,,,,,,,,,Digital nomad visa: the complete guide - France Immigration,France Immigration (Secondary),https://www.france-immigration.com/en/expert-articles/digital-nomad-visas-the-complete-guide,,8/11/26,secondary,
Mongolia,MNG,no,,,,,,,,,Driving the Future!,WIPO / Gerege Systems LLC,https://www.wipo.int/edocs/mdocs/mdocs/en/wipo_ip_conv_ge_2_23/wipo_ip_conv_ge_2_23_p2_5.pdf,,8/11/26,secondary,
Montenegro,MNE,yes,Programme for Attracting Digital Nomads in Montenegro,Digital Nomad Visa / Residence Permit,,Law on Foreigners,2021,2021,,2021-2025,MIGRATION GOVERNANCE INDICATORS,International Organization for Migration (IOM),https://www.iom.int/sites/g/files/tmzbdl486/files/documents/2023-09/pub2023-048-el-mgi-montenegro.pdf,2023-09,8/11/26,primary,
Morocco,MAR,no,,,,,,,,,MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025-09,8/11/26,secondary,
Mozambique,MOZ,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,
